schema_version,qid,expected_law_id,expected_article_id,expected_reference_validity,answer_support_relation,answer_supporting_law_id,answer_supporting_article_id,answer_supporting_passage_id,temporal_scope_flag,rationale
vigency-reference-review-v1,eval-0002,vda:lr:2000-01-25:5,vda:lr:2000-01-25:5#art:2,partial,supported_by_expected,vda:lr:2000-01-25:5,vda:lr:2000-01-25:5#art:2,vda:lr:2000-01-25:5#art:2#p:c2,none,Only comma 3bis is repealed; comma 2 contains the answer and remains active in the corpus snapshot.
vigency-reference-review-v1,eval-0003,vda:lr:2000-01-25:5,vda:lr:2000-01-25:5#art:16,unknown,supported_by_expected,vda:lr:2000-01-25:5,vda:lr:2000-01-25:5#art:16,vda:lr:2000-01-25:5#art:16#p:c2,none,Comma 2 contains the answer; the previous past status was caused by note-block contamination and bracketed text remains ambiguous.
vigency-reference-review-v1,eval-0013,vda:lr:1991-09-05:44,vda:lr:1991-09-05:44#art:2,past,supported_elsewhere,vda:lr:1991-09-05:44,vda:lr:1991-09-05:44#art:3,vda:lr:1991-09-05:44#art:3#p:c3,historical,The law is wholly repealed and the requested criteria and procedures are stated in article 3 comma 3 rather than the expected article 2.
vigency-reference-review-v1,eval-0014,vda:lr:1991-09-05:44,vda:lr:1991-09-05:44#art:2,past,supported_by_expected,vda:lr:1991-09-05:44,vda:lr:1991-09-05:44#art:2,,historical,The expected article supplies the exhaustive list used by the question but the whole law is repealed in the corpus snapshot.
vigency-reference-review-v1,eval-0015,vda:lr:1991-09-05:44,vda:lr:1991-09-05:44#art:3,past,supported_by_expected,vda:lr:1991-09-05:44,vda:lr:1991-09-05:44#art:3,vda:lr:1991-09-05:44#art:3#p:c2,historical,Article 3 comma 2 contains the contribution ceiling but the whole law is repealed in the corpus snapshot.
vigency-reference-review-v1,eval-0016,vda:lr:1991-09-05:44,vda:lr:1991-09-05:44#art:3,past,supported_by_expected,vda:lr:1991-09-05:44,vda:lr:1991-09-05:44#art:3,vda:lr:1991-09-05:44#art:3#p:c1.lit_d,historical,Article 3 covers personnel costs but the whole law is repealed in the corpus snapshot.
vigency-reference-review-v1,eval-0073,vda:lr:1983-06-10:56,vda:lr:1983-06-10:56#art:1,partial,supported_by_expected,vda:lr:1983-06-10:56,vda:lr:1983-06-10:56#art:1,vda:lr:1983-06-10:56#art:1#p:c1,none,Only comma 2 is repealed; comma 1 contains the answer and remains active in the corpus snapshot.
vigency-reference-review-v1,eval-0075,vda:lr:1983-06-10:56,vda:lr:1983-06-10:56#art:1,partial,supported_by_expected,vda:lr:1983-06-10:56,vda:lr:1983-06-10:56#art:1,vda:lr:1983-06-10:56#art:1#p:c3,none,Only comma 2 is repealed; comma 3 contains the current consolidated answer.
vigency-reference-review-v1,eval-0076,vda:lr:1983-06-10:56,vda:lr:1983-06-10:56#art:5,past,supported_elsewhere,vda:lr:1983-06-10:56,vda:lr:1983-06-10:56#art:3,vda:lr:1983-06-10:56#art:3#p:c5,none,Article 5 is explicitly repealed while the answer that the appointment is unpaid is stated in article 3 comma 5.
vigency-reference-review-v1,eval-0100,vda:lr:2020-04-21:5,vda:lr:2020-04-21:5#art:5,partial,supported_by_expected,vda:lr:2020-04-21:5,vda:lr:2020-04-21:5#art:5,vda:lr:2020-04-21:5#art:5#p:c1,time_limited,Comma 1 contains the answer and is not explicitly repealed; operational applicability is limited to the 2020 emergency period.
